deuda_total,proporcion_ingreso_deuda,monto_solicitado,tasa_interes,lineas_credito_abiertas,saldo_promedio_bancario,ingresos_familiares_per_capita,puntuacion_credito_bureau,antiguedad_laboral_meses,patrimonio_neto,gastos_mensuales_fijos,capital_circulante,capacidad_ahorro_mensual,ingresos_inversion,retrasos_pago_ultimos_6_meses,mora_historica_dias,porcentaje_utilizacion_credito,pagos_puntuales_ultimos_12_meses,deudas_canceladas_historicas,maximo_retraso_pago_dias,numero_cuentas_cerradas,proporcion_pagos_a_tiempo,consultas_credito_recientes,cambios_en_habitos_pago,edad,nivel_educativo,estado_civil,numero_dependientes,propiedad_vivienda,tipo_vivienda,residencia_antiguedad_meses,sector_laboral,numero_empleos_ultimos_5_anos,frecuencia_transacciones_mensuales,nivel_riesgo
28035.6130610474,0.9562014631242349,78443.6058968586,703500.7324414885,4.0,672325.1151199046,352943.2703599083,382.9880053089474,40,288998.4001278096,245,2,107430.68249535169,635268.9308111354,493,478.19320479680414,52.0,14,137,30,8,0.7600843417220892,14,1,21,0.0,3.0,1,2,0.0,2.0,3.0,4,303,Medio
233973.19041385708,4.492290984098599,638486.8436583425,804510.8782835397,3.0,22737.373045375472,803889.6143089879,637.8782852654646,72,497101.79771382705,320,1,305691.487681932,301303.789317578,495,378.8358794899981,43.0,131,361,426,2,0.5113027504845835,13,0,38,5.0,3.0,3,1,4.0,1.0,2.0,1,273,Medio
318682.81214205065,0.6110492176038776,153266.66457820524,907118.049149262,9.0,716373.6484106211,471353.9452971862,721.8303255916207,271,831189.9152034067,459,4,366635.3310602885,970003.6618402844,461,467.12223827108704,68.0,120,395,107,2,0.109645591096037,4,0,63,0.0,0.0,1,1,1.0,1.0,1.0,4,567,Medio
243199.24588006397,0.2870777901221852,102493.77999207223,365023.5109044265,5.0,194393.81158602884,346419.6679288879,771.9592863156456,369,994484.4645275127,148,2,470560.06668099435,41372.00180001755,200,230.63757542855393,89.0,55,325,316,9,0.022047556531288093,22,0,83,1.0,2.0,4,1,3.0,0.0,5.0,5,164,Bajo
183838.28039023004,2.6813891094217444,168748.67339773712,213702.44889412104,9.0,781053.5530132458,647775.7434729212,425.6073254194142,466,343600.1908457089,54,2,548358.7316309321,780951.0565215605,494,477.27315949227705,79.0,333,362,482,5,0.18677552673357067,11,0,18,4.0,2.0,2,3,5.0,4.0,3.0,2,509,Medio
478980.5131578222,0.4488797686660648,586433.4191141446,219299.66866411752,9.0,81026.0362241075,150120.81685707116,555.1563680721872,127,863333.5044744187,39,8,978616.793599659,817169.6460025574,428,244.71184305648163,25.0,73,239,378,8,0.9899200427644888,25,1,23,3.0,1.0,4,2,5.0,1.0,4.0,5,562,Medio
599962.8383194351,1.0274962941655827,352537.06399533694,851032.7731842916,,113045.38766326247,661024.2718495883,550.9729342869847,223,504369.04105328774,1,8,895890.7493768267,456004.5639271236,81,258.7617262854559,38.0,377,86,34,5,0.4773289271346107,29,1,33,2.0,0.0,2,0,2.0,4.0,2.0,5,93,Medio
966449.6597395249,3.3512035870570953,463923.791157209,244262.86749344168,5.0,26108.587772935884,290956.93155248207,379.1599969206287,433,938932.0310562198,472,0,640862.8939173968,557372.6878281921,351,2.0259789697962747,18.0,468,342,24,3,0.3620488146380013,29,0,68,3.0,2.0,5,1,3.0,3.0,0.0,3,610,Alto
154979.77838797824,3.3254991644313643,133328.57314415238,402313.148639192,8.0,860191.9295590316,631112.1519033844,806.9814284029576,257,519278.3506869753,217,4,750114.8584737948,53050.94622433906,200,120.6445959896985,58.0,269,305,112,6,0.5193222256439344,16,0,70,0.0,2.0,1,2,3.0,3.0,0.0,1,144,Bajo
606746.532008932,2.6499247139992472,482729.81251972704,99187.39588085469,5.0,33053.43759493877,993709.1520391214,765.2478545444396,488,39829.91350681916,26,3,884474.1679016481,652980.5880062556,98,445.1005137904177,10.0,126,241,251,2,0.35672607460085914,3,1,46,3.0,2.0,3,2,2.0,0.0,4.0,0,94,Bajo
721879.165570379,1.674306499004862,992970.2094455205,419177.2723098364,2.0,258588.69419600186,488121.18067224167,630.1254597731378,222,160503.60502467715,434,0,31394.061590959536,341456.2775228809,475,165.99719013124417,82.0,106,248,299,4,0.7775766234696382,5,1,88,2.0,2.0,3,2,1.0,1.0,,3,619,Alto
475404.2492710338,0.3290628611895586,964081.6786687317,780435.4420755104,9.0,833790.5449377351,554916.8392895793,495.99498125551224,423,305202.3203525354,59,0,315166.9797171124,979380.7853334042,457,176.47138122019032,20.0,16,494,75,8,0.312840624171813,12,0,18,1.0,0.0,3,0,5.0,1.0,1.0,2,215,Medio
137945.13335493757,3.759901314636319,844430.5612383763,65944.27629485386,9.0,623179.8912653356,992748.7479254676,826.436985734463,154,689992.0251241275,438,6,153543.8241016043,407072.74282441224,399,440.296743184628,94.0,485,234,147,3,0.5783950966503073,24,1,40,4.0,0.0,4,1,4.0,,2.0,1,861,Bajo
470783.8175340538,4.331200682296284,396631.8830877175,310544.2423231911,4.0,70425.5402584119,897205.9653447167,467.55464700825434,418,519168.0345123038,290,5,241643.0867422384,593211.9408621149,479,40.06347408368756,47.0,82,319,217,4,0.11869078790076437,16,1,18,3.0,0.0,2,2,5.0,3.0,1.0,3,207,Medio
419806.5843342632,2.317658015455233,710565.5267323288,814698.1247885356,3.0,180349.14045104393,958484.0657111064,544.3784882620789,366,587823.0357784857,231,5,102231.09441293874,979888.6754031195,424,182.46522335334592,11.0,113,325,285,5,0.7849869395754656,29,0,56,3.0,3.0,4,0,3.0,5.0,2.0,0,448,Medio
96011.03909908286,3.2272753368833986,713397.6692663346,864508.6327069106,2.0,335194.1668710065,585641.4945961116,576.5648987659135,174,594611.7855873595,146,3,574574.9031034133,43503.799486791526,274,286.099140074098,94.0,296,18,416,6,0.8504253370201997,13,0,56,3.0,1.0,1,2,5.0,3.0,4.0,0,350,Bajo
977215.4226956948,3.346921913195604,104697.03389343739,505153.7020912067,8.0,30074.583860104525,377680.51195340115,435.65092283164984,404,493022.5405763402,271,7,261451.81503530804,342617.8439327165,251,313.594074156426,38.0,307,293,98,2,0.9821924833792943,29,0,23,4.0,1.0,1,0,4.0,,,4,734,Alto
395305.3916853696,2.294640058824596,412810.26599637844,244217.445631095,1.0,502579.1005319819,587508.7206473642,591.9657756473598,420,861882.4717483656,233,0,660678.1404325909,446717.56470403296,303,430.04045609004953,6.0,196,44,379,6,0.04938450138958872,20,0,63,0.0,3.0,2,3,3.0,3.0,3.0,0,373,Medio
187650.72358195545,3.2260934293886527,131277.46198918764,92998.25052862363,7.0,230974.1483810025,193234.77541122038,717.8924988695576,425,570141.5465878741,282,3,472163.79275088216,234277.16521073278,90,484.10406704048967,54.0,289,320,332,7,0.474930694950501,21,0,68,0.0,2.0,0,3,0.0,1.0,0.0,3,419,Bajo
632805.1734829003,2.292503573630984,158080.89092288777,954271.9786821711,1.0,801595.8913644352,759965.8602331978,360.9704969786486,175,708993.7928096242,315,0,521142.6025987909,709406.7893367264,178,442.53164458377705,16.0,319,135,363,4,0.539978698135389,11,0,74,0.0,1.0,3,3,1.0,1.0,2.0,5,203,Medio
369629.5201267972,2.588022866394341,633000.2487195096,204870.40099673622,6.0,111683.27715833868,696967.8580851633,461.54815506279266,341,518222.85538323416,271,5,768565.9762404271,44879.21756112826,237,371.0486535170315,80.0,473,490,177,1,0.09220791321139465,25,0,18,4.0,1.0,3,0,1.0,4.0,1.0,3,639,Medio
703588.1742016543,4.134027767607125,151536.8981408543,985052.1102205915,2.0,439091.19974646636,458414.64273823233,567.1113767270924,7,549971.7347206643,425,7,472971.3330554475,135767.78111272535,244,59.10862722923508,56.0,360,317,437,6,0.3502282526969973,24,0,21,3.0,3.0,0,1,1.0,4.0,5.0,0,459,Medio
682096.5971847598,0.7746782678516287,164066.34441659087,376067.50025527464,3.0,219329.62549121564,1497.0041538294606,348.556365448979,327,185867.73665408502,476,2,364536.9322295355,923294.8935585653,493,299.32698765705186,23.0,380,62,83,8,0.46442503153149384,22,0,21,3.0,3.0,0,1,1.0,5.0,5.0,1,387,Alto
981173.1945172384,2.4799527182661327,518880.5021749897,103770.70898203102,1.0,579907.9367844103,693918.017623103,823.2127703878438,470,874014.1668090621,39,1,163447.36601614548,830213.7198576087,329,382.90128711493315,90.0,476,404,204,4,0.5817977975886116,25,0,67,0.0,2.0,4,3,0.0,0.0,4.0,4,784,Medio
617995.0225840256,4.19949322180208,162250.55314231367,951973.9093527192,8.0,134768.68889768637,983035.8856604497,525.9584058024464,231,32537.799063820712,463,1,445461.7245745404,145023.636342935,374,112.80916878129761,57.0,222,376,248,9,0.937612511812554,5,1,71,5.0,0.0,0,0,2.0,2.0,2.0,0,268,Alto
460517.90072104335,4.057020937391074,311752.8169942016,80643.21952450839,5.0,971895.9737593192,548458.552786487,512.976731368558,211,35374.15342180414,47,8,514663.0642603394,813871.1226241668,110,238.25380587098513,62.0,404,452,289,2,0.23343422917910395,26,0,23,1.0,0.0,1,1,5.0,1.0,3.0,3,307,Bajo
671214.9658207012,0.16224706119255294,328573.8870165509,359641.2252074839,6.0,432535.64002320095,707731.5631371131,695.7819878775294,316,699826.9732756828,98,2,815865.0422943381,332711.01163051673,167,73.62259353310023,60.0,427,255,485,6,0.5447788434248627,11,0,84,2.0,2.0,0,3,1.0,4.0,,5,807,Medio
160991.97790220677,4.0395785549964245,162089.53542067966,659240.5174985275,3.0,422684.51274712756,876090.8209889645,377.8921767681574,307,802719.3375331687,333,4,131170.42952187,677123.1930682928,262,435.01723956688875,30.0,58,467,461,6,0.46854241275886344,20,0,37,2.0,1.0,3,1,2.0,3.0,4.0,4,411,Medio
